CIMIS Station Number,Date of Image,"Description of Turf (good, poor, bad)",Area of green lawn immediately around station (m2),Maximum amount of green lawn (m2),Notes,"Use 360 Meter Polygon = 45 m around point of interest.360 is 8,100meters^2",,,,,,Total area of lawn surrounding station (m2)
222,6/2006,good,7290,8100,,,,,,,,
222,8/2006,good,8100,8100,blurry image,,,,,,,
222,6/2009,good,8100,8100,,,,,,,,
222,8/2010,good,8100,8100,,,,,,,,
222,9/2010,good,8100,8100,black and white image,,,,,,,
222,7/2011,good,8100,8100,,,,,,,,
222,8/2012,good,8100,8100,,,,,,,,
222,8/2013,good,8100,8100,,,,,,,,
222,4/2015,good,8100,8100,,,,,,,,
222,5/2017,good,6480,8100,,,,,,,,
222,6/2018,good,8101,8101,Coordinates changed!,,,,,,,
222,11/2019,n/a,n/a,8101,"unable to determine, bad image quality",,,,,,,
222,4/2021,good,8101,8101,,,,,,,,
222,6/2022,good,8101,8101,Image looks the same as previous year (4/2021),,,,,,,
222,5/2023,good,8101,8101,,,,,,,,
Inactive- Gerber,8/2010,good,8100,8100,,,,,,,,
Inactive- Gerber,9/2010,good,8100,8100,,,,,,,,
Inactive- Gerber,7/2011,good,8100,8100,,,,,,,,
Inactive- Gerber,8/2012,good,8100,8100,,,,,,,,
Inactive- Gerber,8/2013,good,8100,8100,,,,,,,,
223,01/2003,good,7031,7031,IT SAYS INACTIVE AND ACTIVE ,,,,,,,
223,12/2003,bad,2812.4,7031,,,,,,,,
223,12/2004,bad,2109.3,7031,,,,,,,,
223,12/2005,poor,5624.8,7031,,,,,,,,
223,03/2006,poor,5624.8,7031,,,,,,,,
223,07/2007,bad,1406.2,7031,,,,,,,,
223,07/2008,poor,5624.8,7031,,,,,,,,
223,06/2009,bad,703.1,7031,,,,,,,,
223,11/2009,poor,6116.97,7031,,,,,,,,
223,03/2011,poor,6116.97,7031,,,,,,,,
223,10/2011,poor,6187.28,7031,,,,,,,,
223,08/2012,bad,773.41,7031,,,,,,,,
223,10/2012,bad,843.72,7031,,,,,,,,
223,04/2013,bad,843.72,7031,,,,,,,,
223,04/2014,bad,914.03,7031,,,,,,,,
223,03/2015,good,6820.07,7031,,,,,,,,
223,02/2016,bad,3867.05,7031,,,,,,,,
223,04/2016,bad,3867.05,7031,,,,,,,,
223,05/2016,poor,5062.32,7031,,,,,,,,
223,07/2016,poor,4921.7,7031,,,,,,,,
223,10/2016,bad,3515.5,7031,,,,,,,,
223,03/2017,poor,5273.25,7031,,,,,,,,
223,10/2017,bad,1335.89,7031,,,,,,,,
223,12/2017,bad,3867.05,7031,,,,,,,,
223,06/2018,bad,4218.6,7031,,,,,,,,
223,10/2018,bad,4218.6,7031,,,,,,,,
223,11/2018,poor,5273.25,7031,,,,,,,,
223,4/2019,good,6960.69,7031,,,,,,,,
223,05/2019,good,6327.9,7031,,,,,,,,
223,10/2019,bad,4077.98,7031,,,,,,,,
223,12/2019,good,6679.45,7031,,,,,,,,
223,01/2020,good,6749.76,7031,,,,,,,,
223,03/2020,good,6960.69,7031,,,,,,,,
223,07/2020,bad,2109.3,7031,,,,,,,,
223,11/2020,bad,3515.5,7031,,,,,,,,
223,02/2021,poor,4851.39,7031,,,,,,,,
223,03/2021,good,6679.45,7031,,,,,,,,
223,04/2021,bad,1406.2,7031,,,,,,,,
223,08/2021,bad,2601.47,7031,,,,,,,,
223,03/2022,good,6187.28,7031,,,,,,,,
219,07/2003,NA,NA,5735,,,,,,,,
219,12/2003,NA,NA,5735,,,,,,,,
219,11/2004,good,5735,5735,,,,,,,,
219,12/2005,good,5735,5735,,,,,,,,
219,03/2006,good,5390.9,5735,,,,,,,,
219,09/2007,good,5562.95,5735,,,,,,,,
219,10/2007,good,5390.9,5735,,,,,,,,
219,07/2008,good,5448.25,5735,,,,,,,,
219,06/2009,bad,974.95,5735,,,,,,,,
219,04/2011,good,5276.2,5735,,,,,,,,
219,08/2012,poor,4129.2,5735,,,,,,,,
219,10/2012,good,5505.6,5735,,,,,,,,
219,12/2013,bad,2867.5,5735,,,,,,,,
219,08/2014,bad,860.25,5735,,,,,,,,
219,05/2015,bad,1720.5,5735,,,,,,,,
219,02/2016,bad,1720.5,5735,,,,,,,,
219,10/2016,bad,1548.45,5735,,,,,,,,
219,06/2017,bad,1376.4,5735,,,,,,,,
219,10/2017,bad,2752.8,5735,,,,,,,,
219,12/2017,bad,2867.5,5735,,,,,,,,
219,01/2018,bad,2867.5,5735,,,,,,,,
219,08/2018,bad,2752.8,5735,,,,,,,,
219,10/2018,bad,2294,5735,,,,,,,,
219,11/2018,bad,1147,5735,,,,,,,,
219,08/2019,bad,2695.45,5735,,,,,,,,
219,01/2020,poor,4530.65,5735,,,,,,,,
219,03/2020,bad,516.15,5735,,,,,,,,
219,03/2021,bad,401.45,5735,,,,,,,,
219,02/2022,bad,1548.45,5735,,,,,,,,
219,04/2022,bad,2867.5,5735,,,,,,,,
219,05/2003,bad,1433.75,5735,,,,,,,,
215,12/2003,NA,NA,2868,,,,,,,,
215,11/2004,bad,0,2868,,,,,,,,
215,12/2004,bad,0,2868,,,,,,,,
215,11/2005,bad,0,2868,,,,,,,,
215,12/2005,bad,0,2868,,,,,,,,
215,03/2006,bad,0,2868,,,,,,,,
215,10/2007,poor,2294.4,2868,,,,,,,,
215,07/2008,poor,2868,2868,,,,,,,,
215,06/2009,bad,1147.2,2868,,,,,,,,
215,04/2011,bad,1405.32,2868,,,,,,,,
215,08/2012,bad,1577.4,2868,,,,,,,,
215,10/2012,good,2294.4,2868,,,,,,,,
215,12/2013,poor,2007.6,2868,,,,,,,,
215,08/2014,bad,860.4,2868,,,,,,,,
215,05/2015,bad,372.84,2868,,,,,,,,
215,02/2016,bad,344.16,2868,,,,,,,,
215,05/2016,bad,1290.6,2868,,,,,,,,
215,10/2016,bad,1434,2868,,,,,,,,
215,03/2017,bad,1720.8,2868,,,,,,,,
215,05/2017,bad,1720.8,2868,,,,,,,,
215,10/2017,NA,NA,2868,,,,,,,,
215,12/2017,bad,1720.8,2868,,,,,,,,
215,01/2018,bad,1548.72,2868,,,,,,,,
215,08/2018,bad,1663.44,2868,,,,,,,,
215,10/2018,good,2581.2,2868,,,,,,,,
215,11/2018,good,2638.56,2868,,,,,,,,
215,08/2019,poor,2237.04,2868,,,,,,,,
215,10/2019,NA,NA,2868,,,,,,,,
215,01/2020,good,2667.24,2868,,,,,,,,
215,03/2020,good,2781.96,2868,,,,,,,,
215,03/2021,good,2810.64,2868,,,,,,,,
215,02/2022,poor,2868,2868,,,,,,,,
215,04/2022,bad,1434,2868,,,,,,,,
216,12/2003,poor,8100,8100,,,,,,,,
216,12/2004,bad,810,8100,,,,,,,,
216,12/2005,good,1944,8100,,,,,,,,
216,03/2006,good,8100,8100,,,,,,,,
216,08/2006,good,8100,8100,,,,,,,,
216,10/2007,poor,7290,8100,,,,,,,,
216,07/2008,good,8100,8100,,,,,,,,
216,06/2009,poor,6318,8100,,,,,,,,
216,11/2009,good,8100,8100,,,,,,,,
216,03/2011,good,8100,8100,,,,,,,,
216,10/2011,good,7695,8100,,,,,,,,
216,10/2012,good,4293,8100,mud slide lookks like took away half of vegetation ,,,,,,,
216,04/2013,good,4293,8100,,,,,,,,
216,04/2014,good,4293,8100,,,,,,,,
216,03/2015,good,4293,8100,,,,,,,,
216,02/2016,bad,2025,8100,,,,,,,,
216,04/2016,good,4293,8100,,,,,,,,
216,05/2016,good,4293,8100,,,,,,,,
216,07/2016,good,4293,8100,,,,,,,,
216,10/2016,good,4293,8100,,,,,,,,
216,03/2017,good,4293,8100,,,,,,,,
216,08/2017,poor,3863.7,8100,,,,,,,,
216,10/2107,good,4293,8100,,,,,,,,
216,12/2017,good,4293,8100,,,,,,,,
216,06/2018,good,4290,8100,,,,,,,,
216,10/2018,poor,3906.63,8100,,,,,,,,
216,11/2018,poor,3903.9,8100,,,,,,,,
216,04/2019,good,4293,8100,,,,,,,,
216,05/2019,poor,4078.35,8100,,,,,,,,
216,10/2019,good,4207.14,8100,,,,,,,,
216,12/2019,good,4293,8100,,,,,,,,
216,03/2020,good,4293,8100,,,,,,,,
216,02/2021,good,4293,8100,,,,,,,,
216,03/2021,good,4293,8100,,,,,,,,
216,08/2021,bad,1134,8100,,,,,,,,
216,03/2022,bad,972,8100,,,,,,,,
152,07/2003,NA,NA,8100,,,,,,,,
152,12/2003,good,7452,8100,,,,,,,,
152,10/2004,good,7452,8100,,,,,,,,
152,01/2005,good,8100,8100,,,,,,,,
152,02/2005,good,8100,8100,,,,,,,,
152,11/2005,poor,5670,8100,,,,,,,,
152,12/2005,good,7533,8100,,,,,,,,
152,08/2006,good,7857,8100,,,,,,,,
152,09/2007,poor,7047,8100,,,,,,,,
152,10/2007,good,8100,8100,,,,,,,,
152,10/2007,poor,7047,8100,,,,,,,,
152,12/2007,poor,7047,8100,,,,,,,,
152,06/2009,good,7695,8100,,,,,,,,
152,04/2011,good,7857,8100,,,,,,,,
152,08/2012,poor,7047,8100,,,,,,,,
152,12/2013,good,8100,8100,,,,,,,,
152,07/2014,good,7857,8100,,,,,,,,
152,08/2014,bad,4698,8100,,,,,,,,
152,05/2015,good,7938,8100,,,,,,,,
152,02/2016,good,7776,8100,,,,,,,,
152,10/2016,poor,6885,8100,,,,,,,,
152,11/2017,good,7938,8100,,,,,,,,
152,12/2017,good,7776,8100,,,,,,,,
152,01/2018,good,7614,8100,,,,,,,,
152,08/2018,good,7938,8100,,,,,,,,
152,10/2018,bad,4860,8100,,,,,,,,
152,11/2018,bad,5022,8100,,,,,,,,
152,01/2019,good,7938,8100,,,,,,,,
152,08/2019,good,7938,8100,,,,,,,,
152,12/2019,good,7857,8100,,,,,,,,
152,01/2021,poor,6075,8100,,,,,,,,
152,03/2021,good,7857,8100,,,,,,,,
152,02/2022,good,7857,8100,,,,,,,,
152,05/2023,good,7938,8100,,,,,,,,
264,7/2004,good,8109,8109,blurry image,,,,,,,
264,8/2005,good,6487.2,8109,,,,,,,,
264,12/2005,poor,6081.75,8109,,,,,,,,
264,8/2006,poor,5676.3,8109,,,,,,,,
264,6/2009,bad,3243.6,8109,,,,,,,,
264,9/2010,bad,4054.5,8109,,,,,,,,
264,6/2012,poor,4865.4,8109,,,,,,,,
264,8/2012,bad,0,8109,,,,,,,,
264,3/2014,bad,0,8109,,,,,,,,
264,9/2018,bad,810.9,8109,,,,,,,,
264,7/2019,bad,810.9,8109,,,,,,,,
264,10/2020,bad,0,8109,,,,,,,,
264,6/2021,bad,0,8109,,,,,,,,
264,7/2021,bad,0,8109,,,,,,,,
264,9/2021,bad,0,8109,,,,,,,,
12,7/2003,N/A,N/A,5182,Blurry Image. Station is between a house and agriculture,,,,,,,
12,7/2004,N/A,N/A,5182,Blurry Image,,,,,,,
12,8/2005,good,5182,5182,,,,,,,,
12,12/2005,good,5182,5182,,,,,,,,
12,08/2006,N/A,N/A,5182,Blurry/ Unable to detect. 3 images,,,,,,,
12,6/2007,good,4663.8,5182,,,,,,,,
12,2/2008,N/A,N/A,5182,Black & White,,,,,,,
12,3/2008,N/A,N/A,5182,Black & White,,,,,,,
12,5/2008,good,5182,5182,Polygon is off centered from original position.,,,,,,,
12,6/2009,good,4145.6,5182,Polygon is recentered,,,,,,,
12,10/2009,bad,1036.4,5182,,,,,,,,
12,7/2010,poor,2591,5182,,,,,,,,
12,9/2010,bad,1036.4,5182,,,,,,,,
12,6/2011,bad,518.2,5182,,,,,,,,
12,7/2011,bad,1554.6,5182,,,,,,,,
12,5/2013,poor,2072.8,5182,,,,,,,,
12,4/2015,good,5182,5182,,,,,,,,
12,5/2017,poor,3627.4,5182,,,,,,,,
12,5/2018,good,4922.9,5182,,,,,,,,
12,9/2018,poor,2072.8,5182,,,,,,,,
12,11/2018,N/A,N/A,5182,No Image,,,,,,,
12,12/2018,bad,518.2,5182,Polygon off centered and pin,,,,,,,
12,11/2019,bad,0,5182,"Image has two years showing, very weird",,,,,,,
12,7/2020,poor,2591,5182,,,,,,,,
12,5/2021,good,5182,5182,,,,,,,,
12,7/2022,good,4404.7,5182,,,,,,,,
12,5/2023,bad,777.3,5182,,,,,,,,
244,7/2003,N/A,NA,8104,"Blurry, unable to determine",,,,,,,
244,7/2004,good,8104,8104,,,,,,,,
244,8/2005,good,8104,8104,,,,,,,,
244,12/2005,good,8104,8104,,,,,,,,
244,8/2006,good,8104,8104,"blurry image, 3 images",,,,,,,
244,6/2007,good,8104,8104,,,,,,,,
244,2/2008,N/A,N/A,8104,Black&White,,,,,,,
244,5/2008,good,8104,8104,,,,,,,,
244,6/2009,good,8104,8104,,,,,,,,
244,3/2010,bad,0,8104,,,,,,,,
244,4/2010,bad,0,8104,,,,,,,,
244,5/2010,good,8104,8104,,,,,,,,
244,7/2010,good,8104,8104,,,,,,,,
244,9/2010,good,8104,8104,image is blurry,,,,,,,
244,6/2011,good,8104,8104,,,,,,,,
244,7/2011,good,8104,8104,,,,,,,,
244,5/2013,bad,810.4,8104,,,,,,,,
244,4/2015,poor,1215.6,8104,grass is growing back,,,,,,,
244,5/2017,poor,1215.6,8104,,,,,,,,
244,5/2018,good,8104,8104,,,,,,,,
244,9/2018,good,7698.8,8104,,,,,,,,
244,7/2020,good,8104,8104,,,,,,,,
244,5/2021,good,8104,8104,,,,,,,,
244,7/2022,good,6483.2,8104,,,,,,,,
84,7/2003,bad,2263.2,7544,blurry image,,,,,,,
84,7/2004,good,6412.4,7544,,,,,,,,
84,8/2005,good,7544,7544,,,,,,,,
84,12/2005,good,7544,7544,,,,,,,,
84,8/2006,good,7544,7544,"2 images. Image has no color, but there's vegetation",,,,,,,
84,9/2006,good,7544,7544,,,,,,,,
84,10/2006,good,7544,7544,,,,,,,,
84,4/2007,good?,6412.4,7544,image is dark/ No color,,,,,,,
84,6/2007,good,6035.2,7544,,,,,,,,
84,2/2008,N/A,N/A,7544,Black & White,,,,,,,
84,6/2009,good,6035.2,7544,,,,,,,,
84,4/2010,good,6412.4,7544,,,,,,,,
84,6/2010,good,6789.6,7544,2 images,,,,,,,
84,7/2010,good,6789.6,7544,,,,,,,,
84,9/2010,good,7166.8,7544,,,,,,,,
84,6/2011,poor,5658,7544,,,,,,,,
84,5/2013,good,6412.4,7544,,,,,,,,
84,4/2015,good,6412.4,7544,,,,,,,,
84,9/2016,good,7544,7544,,,,,,,,
84,5/2017,good,7166.8,7544,,,,,,,,
84,10/2017,good,7544,7544,,,,,,,,
84,5/2018,good,7544,7544,,,,,,,,
84,3/2020,good,7544,7544,,,,,,,,
84,5/2021,good,6789.6,7544,,,,,,,,
84,7/2022,good,6035.2,7544,,,,,,,,
84,6/2023,good,6035.2,7544,,,,,,,,
250,7/2003,bad,0,8105,,,,,,,,
250,7/2004,good,8105,8105,,,,,,,,
250,8/2005,good,8105,8105,image looks the same as previous year (7/2004),,,,,,,
250,12/2005,bad,0,8105,image 1,,,,,,,
250,12/2005,good,100,8105,interesting how it went one no veg. to completely covered veg. may be a controlled site?,,,,,,,
250,8/2006,bad,1215.75,8105,2 images,,,,,,,
250,6/2007,bad,0,8105,,,,,,,,
250,11/2008,poor,5673.5,8105,veg but it looks dried out,,,,,,,
250,6/2009,good,8105,8105,,,,,,,,
250,5/2010,good,8105,8105,,,,,,,,
250,9/2010,good,8105,8105,2 images,,,,,,,
250,10/2010,good,7699.75,8105,,,,,,,,
250,7/2013,poor,5673.5,8105,,,,,,,,
250,3/2016,good,8105,8105,,,,,,,,
250,5/2017,poor,4863,8105,,,,,,,,
250,5/2018,poor,5673.5,8105,,,,,,,,
250,2/2020,good,8105,8105,,,,,,,,
250,4/2021,good,8105,8105,,,,,,,,
106,7/2003,N/A,N/A,8102,Blurry,,,,,,,
106,7/2004,good,8102,8102,Blurry,,,,,,,
106,11/2004,good,8102,8102,,,,,,,,
106,7/2005,bad,1620.4,8102,,,,,,,,
106,8/2005,bad,0,8102,2 images,,,,,,,
106,8/2005,poor,3240.8,8102,"Same date as previous image, different image",,,,,,,
106,12/2005,bad,0,8102,image color is weird,,,,,,,
106,2/2006,good,8102,8102,,,,,,,,
106,4/2006,good,8102,8102,,,,,,,,
106,8/2006,good,8102,8102,"Blurry, 2 images ",,,,,,,
106,3/2008,N/A,N/A,8102,Black and White,,,,,,,
106,4/2008,N/A,N/A,8102,"cloudy, black adn white",,,,,,,
106,6/2009,poor,4861.2,8102,,,,,,,,
106,7/2009,bad,2430.6,8102,,,,,,,,
106,8/2009,good,6886.7,8102,,,,,,,,
106,9/2010,poor,3240.8,8102,,,,,,,,
106,1/2011,N/A,N/A,8102,Black and white,,,,,,,
106,5/2011,N/A,N/A,8102,"Black and white, cloudy",,,,,,,
106,8/2011,good,8102,8102,,,,,,,,
106,8/2013,good,6481.6,8102,,,,,,,,
106,3/2015,good,7291.8,8102,,,,,,,,
106,4/2015,good,6076.5,8102,,,,,,,,
106,6/2016,good,6076.5,8102,same image as previous year (4/2015),,,,,,,
106,8/2017,poor,5671.4,8102,,,,,,,,
106,7/2018,bad,1215.3,8102,,,,,,,,
106,8/2018,N/A,N/A,8102,Low quality image,,,,,,,
106,2/2020,good,8102,8102,,,,,,,,
106,5/2021,bad,0,8102,,,,,,,,
106,6/2021,bad,0,8102,,,,,,,,
135,05/2003,bad,1020,5048,,,,,,,,
135,05/2004,bad,1020,5048,,,,,,,,
135,09/2004,NA,NA,5048,,,,,,,,
135,11/2004,bad,0,5048,,,,,,,,
135,08/2005,bad,0,5048,,,,,,,,
135,12/2005,bad,1262,5048,,,,,,,,
135,08/2006,bad,0,5048,,,,,,,,
135,06/2007,bad,0,5048,,,,,,,,
135,06/2009,bad,0,5048,two images ,,,,,,,
135,09/2009,bad,0,5048,,,,,,,,
135,09/2010,poor,3432.64,5048,,,,,,,,
135,06/2012,good,4543.2,5048,,,,,,,,
135,10/2012,bad,1262,5048,,,,,,,,
135,05/2014,bad,0,5048,rows of plants ,,,,,,,
135,06/2017,bad,0,5048,,,,,,,,
135,10/2020,bad,0,5048,,,,,,,,
135,05/2023,bad,0,5048,,,,,,,,
217,07/2003,NA,NA,7470,,,,,,,,
217,12/2004,good,7470,7470,,,,,,,,
217,01/2005,good,7470,7470,,,,,,,,
217,12/2005,good,7470,7470,,,,,,,,
217,01/2006,good,7470,7470,,,,,,,,
217,09/2007,good,7470,7470,,,,,,,,
217,10/2007,good,7470,7470,,,,,,,,
217,06/2009,poor,5602.5,7470,,,,,,,,
217,04/2011,bad,4482,7470,,,,,,,,
217,08/2012,bad,3735,7470,,,,,,,,
217,12/2013,poor,6498.9,7470,,,,,,,,
217,07/2014,bad,4108.5,7470,,,,,,,,
217,08/2014,poor,5602.5,7470,,,,,,,,
217,05/2015,bad,4482,7470,,,,,,,,
217,02/2016,bad,2988,7470,,,,,,,,
217,10/2016,ppor,3735,7470,,,,,,,,
217,11/2017,NA,NA,7470,,,,,,,,
217,12/2017,poor,5602.5,7470,,,,,,,,
217,01/2018,bad,1867.5,7470,,,,,,,,
217,08/2018,bad,1942.2,7470,,,,,,,,
217,10/2018,bad,1942.2,7470,,,,,,,,
217,11/2018,poor,3735,7470,,,,,,,,
217,01/2019,poor,3735,7470,,,,,,,,
217,08/2019,poor,4855.5,7470,,,,,,,,
217,03/2020,poor,4482,7470,,,,,,,,
217,03/2021,bad,3361.5,7470,,,,,,,,
217,02/2022,poor,5229,7470,,,,,,,,
217,06/2023,bad,3585.6,7470,,,,,,,,
204,11/2005,NA,NA,2271,,,,,,,,
204,12/2005,NA,NA,2271,,,,,,,,
204,03/2006,NA,NA,2271,,,,,,,,
204,07/2008,poor,2271,2271,,,,,,,,
204,06/2009,good,2271,2271,,,,,,,,
204,11/2009,good,2271,2271,,,,,,,,
204,04/2011,good,2271,2271,,,,,,,,
204,07/2011,bad,817.56,2271,,,,,,,,
204,08/2012,good,2271,2271,,,,,,,,
204,05/2013,good,2271,2271,,,,,,,,
204,12/2013,good,2271,2271,,,,,,,,
204,08/2014,good,2225.58,2271,,,,,,,,
204,04/2015,poor,1975.77,2271,,,,,,,,
204,05/2015,poor,1816.8,2271,,,,,,,,
204,02/2016,poor,1566.99,2271,,,,,,,,
204,04/2016,bad,454.2,2271,,,,,,,,
204,07/2016,bad,1135.5,2271,,,,,,,,
204,10/2016,good,2248.29,2271,,,,,,,,
204,04/2017,good,2043.9,2271,,,,,,,,
204,07/2017,good,2180.16,2271,,,,,,,,
204,12/2017,good,2271,2271,,,,,,,,
204,01/2018,good,2202.87,2271,,,,,,,,
204,08/2018,good,2202.87,2271,,,,,,,,
204,10/2018,good,2271,2271,,,,,,,,
204,11/2018,good,2271,2271,,,,,,,,
204,08/2019,good,2271,2271,,,,,,,,
204,10/2019,good,2202.87,2271,,,,,,,,
204,12/2019,bad,1135.5,2271,,,,,,,,
204,09/2020,good,2248.29,2271,,,,,,,,
204,03/2021,good,1249.05,2271,,,,,,,,
204,02/2022,bad,681.3,2271,,,,,,,,
204,05/2022,good,2271,2271,,,,,,,,
220,07/2003,NA,NA,6157,,,,,,,,
220,08/2003,NA,NA,6157,,,,,,,,
220,09/2003,NA,NA,6157,,,,,,,,
220,11/2005,good,5849.15,6157,,,,,,,,
220,12/2005,good,5787.58,6157,,,,,,,,
220,01/2006,bad,3078.5,6157,,,,,,,,
220,03/2006,bad,3386.35,6157,,,,,,,,
220,07/2008,poor,4925.6,6157,,,,,,,,
220,06/2009,good,6157,6157,,,,,,,,
220,07/2011,good,5849.15,6157,,,,,,,,
220,12/2011,poor,5233.45,6157,,,,,,,,
220,08/2012,poor,5233.45,6157,,,,,,,,
220,05/2013,good,5849.15,6157,,,,,,,,
220,04/2015,good,5787.58,6157,,,,,,,,
220,10/2016,poor,5171.88,6157,,,,,,,,
220,04/2017,good,5849.15,6157,,,,,,,,
220,09/2018,bad,3324.78,6157,,,,,,,,
220,10/2020,good,6157,6157,,,,,,,,
220,05/2022,poor,5295.02,6157,,,,,,,,
220,04/2023,good,6157,6157,,,,,,,,
197,07/2003,NA,NA,4038,,,,,,,,
197,03/2005,bad,0,4038,,,,,,,,
197,11/2005,bad,282.66,4038,,,,,,,,
197,12/2005,NA,NA,4038,,,,,,,,
197,03/2006,bad,0,4038,,,,,,,,
197,07/2008,poor,2019,4038,,,,,,,,
197,06/2009,good,4038,4038,,,,,,,,
197,07/2011,poor,3513.06,4038,,,,,,,,
197,12/2011,bad,0,4038,,,,,,,,
197,08/2012,poor,3068.88,4038,,,,,,,,
197,05/2013,bad,80.76,4038,,,,,,,,
197,04/2015,poor,2422.8,4038,,,,,,,,
197,04/2017,good,3714.96,4038,,,,,,,,
197,09/2018,good,3674.58,4038,,,,,,,,
197,10/2020,NA,NA,4038,,,,,,,,
197,05/2023,bad,0,4038,,,,,,,,
256,07/2003,NA,NA,8100,,,,,,,,
256,03/2005,bad,0,8100,,,,,,,,
256,11/2005,bad,0,8100,,,,,,,,
256,12/2005,NA,NA,8100,,,,,,,,
256,02/2006,bad,0,8100,,,,,,,,
256,03/2006,bad,0,8100,,,,,,,,
256,07/2008,bad,0,8100,,,,,,,,
256,06/2009,NA,NA,8100,,,,,,,,
256,07/2011,bad,0,8100,,,,,,,,
256,12/2011,bad,0,8100,,,,,,,,
256,08/2012,bad,0,8100,,,,,,,,
256,09/2015,good,8100,8100,,,,,,,,
256,08/2018,good,8100,8100,,,,,,,,
256,09/2018,good,8019,8100,,,,,,,,
256,02/2020,bad,0,8100,,,,,,,,
256,10/2020,bad,0,8100,,,,,,,,
256,05/2023,bad,0,8100,,,,,,,,
198,07/2003,bad,0,764,,,,,,,,
198,02/2005,good,764,764,,,,,,,,
198,11/2005,good,764,764,,,,,,,,
198,12/2005,good,764,764,,,,,,,,
198,08/2006,bad,0,764,,,,,,,,
198,09/2007,good,764,764,,,,,,,,
198,06/2009,good,764,764,,,,,,,,
198,04/2011,poor,534.8,764,,,,,,,,
198,08/2012,good,748.72,764,,,,,,,,
198,12/2013,poor,764,764,,,,,,,,
198,08/2014,poor,420.2,764,,,,,,,,
198,05/2015,poor,420.2,764,,,,,,,,
198,02/2016,bad,0,764,,,,,,,,
198,10/2016,good,764,764,,,,,,,,
198,11/2017,NA,NA,764,,,,,,,,
198,12/2017,bad,305.6,764,,,,,,,,
198,01/2018,bad,305.6,764,,,,,,,,
198,08/2018,good,725.8,764,,,,,,,,
198,11/2018,good,748.72,764,,,,,,,,
198,08/2019,good,733.44,764,,,,,,,,
198,02/2020,NA,NA,764,,,,,,,,
198,01/2021,good,764,764,,,,,,,,
198,03/3021,good,764,764,,,,,,,,
198,06/2022,good,764,764,,,,,,,,
198,05/2023,good,764,764,,,,,,,,
107,07/2002,NA,NA,8100,,,,,,,,
107,10/2003,good,7695,8100,,,,,,,,
107,07/2004,good,7938,8100,,,,,,,,
107,12/2005,good,8100,8100,,,,,,,,
107,12/2006,good,7695,8100,,,,,,,,
107,09/2007,poor,6480,8100,,,,,,,,
107,06/2009,NA,NA,8100,,,,,,,,
107,08/2010,bad,6075,8100,,,,,,,,
107,04/2011,good,7776,8100,,,,,,,,
107,08/2012,bad,5913,8100,,,,,,,,
107,04/2013,good,7776,8100,,,,,,,,
107,12/2013,poor,6804,8100,,,,,,,,
107,08/2014,bad,2268,8100,,,,,,,,
107,01/2015,poor,6480,8100,,,,,,,,
107,05/2015,bad,4293,8100,,,,,,,,
107,06/2015,NA,NA,8100,,,,,,,,
107,11/2015,bad,4050,8100,,,,,,,,
107,02/2016,good,7857,8100,,,,,,,,
107,10/2016,poor,6318,8100,,,,,,,,
107,04/2017,good,8019,8100,,,,,,,,
107,06/2017,good,7857,8100,,,,,,,,
107,08/2017,poor,6480,8100,,,,,,,,
107,12/2017,bad,4050,8100,,,,,,,,
107,01/2018,poor,6480,8100,,,,,,,,
107,02/2018,good,7695,8100,,,,,,,,
107,04/2018,good,7938,8100,,,,,,,,
107,08/2018,bad,3564,8100,,,,,,,,
107,11/2018,poor,6156,8100,,,,,,,,
107,08/2019,poor,6156,8100,,,,,,,,
107,02/2021,good,7938,8100,,,,,,,,
107,03/2021,good,7857,8100,,,,,,,,
107,06/2022,NA,NA,8100,,,,,,,,
107,10/2022,poor,6480,8100,,,,,,,,
64,07/2003,NA,NA,8100,,,,,,,,
64,07/2004,NA,NA,8100,,,,,,,,
64,12/2004,NA,NA,8100,,,,,,,,
64,12/2005,good,2832,8100,,,,,,,,
64,10/2006,good,2832,8100,,,,,,,,
64,06/2009,good,2832,8100,,,,,,,,
64,04/2011,good,2832,8100,,,,,,,,
64,04/2012,poor,5373,8100,,,,,,,,
64,04/2013,bad,0,8100,,,,,,,,
64,12/2014,NA,NA,8100,,,,,,,,
64,01/2015,poor,5373,8100,,,,,,,,
64,06/2017,bad,0,8100,,,,,,,,
64,02/2018,poor,3118,8100,,,,,,,,
64,08/2018,bad,0,8100,,,,,,,,
64,12/2019,bad,0,8100,,,,,,,,
64,05/2020,bad,0,8100,,,,,,,,
64,02/2021,poor,4860,8100,,,,,,,,
64,10/2021,bad,0,8100,,,,,,,,
64,04/2023,bad,810,8100,,,,,,,,
2,12/2005,good,7585,7585,,,,,,,,
2,08/2006,good,7585,7585,,,,,,,,
2,06/2009,good,7585,7585,,,,,,,,
2,08/2009,good,7585,7585,,,,,,,,
2,05/2011,good,7585,7585,,,,,,,,
2,08/2012,poor,5992.15,7585,,,,,,,,
2,04/2013,good,7509.15,7585,,,,,,,,
2,05/2015,bad,986.05,7585,,,,,,,,
2,05/2017,poor,7585,7585,,,,,,,,
2,07/2018,good,7585,7585,,,,,,,,
2,02/2020,good,7585,7585,,,,,,,,
2,04/2021,bad,3792.5,7585,,,,,,,,
2,05/2023,bad,3792.5,7585,,,,,,,,
88,07/2003,NA,NA,8100,,,,,,,,
88,07/2004,NA,NA,8100,,,,,,,,
88,08/2005,bad,4050,8100,,,,,,,,
